Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median
1989,STL,2234,6141,73,632,587,155,8.3%,13.8%,0.105,0.292,0.258,0.321,0.363,0.309,,96,7.6,-22.9,115.5,29.7,86,76,43,521,164,1461,5.2,2.97,0.52,0.268,71.6%,,,,3.37,,3.41,,16.4,15555333,15555333,555548,453750
1989,TEX,1841,6099,122,695,654,101,8.2%,16.2%,0.132,0.299,0.263,0.326,0.394,0.326,,102,-1.3,12.7,-21.5,20.5,83,79,44,483,162,1434.1,6.98,4.1,0.75,0.274,69.8%,,,,3.92,,3.76,,17,10689500,10689500,395907,275000
1989,TOR,1722,6216,142,731,685,144,8.4%,14.8%,0.138,0.286,0.26,0.323,0.398,0.325,,102,3.8,20.2,-18.7,21.9,89,73,38,439,162,1466.2,5.21,2.93,0.61,0.279,71.4%,,,,3.59,,3.55,,22.2,16009666,16009666,615756,433500
1990,ATL,2130,6084,162,682,636,92,7.8%,16.6%,0.146,0.278,0.25,0.311,0.396,0.317,,89,-5.5,-82.4,-24,11.2,65,97,30,508,162,1429.2,5.9,3.64,0.81,0.302,67.1%,,,,4.58,,3.93,,13,13328334,13328334,370232,125000
1990,BAL,1735,6223,132,669,623,94,10.6%,15.5%,0.125,0.275,0.245,0.33,0.37,0.317,,99,-3.8,-10.3,18,21.1,76,85,43,518,161,1435.1,4.87,3.37,1.01,0.276,73.3%,,,,4.07,,4.34,,7.4,10037084,10037084,257361,155000
1990,BOS,1694,6234,106,699,660,53,9.6%,12.8%,0.123,0.3,0.272,0.344,0.395,0.332,,102,-12.5,2.7,-55,15.2,88,74,44,485,162,1442,6.22,3.24,0.57,0.298,71.4%,,,,3.72,,3.43,,23.6,20983333,20983333,582870,282500
1990,CHC,2232,6149,136,690,649,151,6.6%,14.1%,0.129,0.288,0.263,0.314,0.392,0.314,,87,8.2,-86.2,-38.7,9.6,77,85,42,508,162,1442.2,5.47,3.57,0.75,0.294,68.8%,,,,4.34,,3.93,,13.1,14496000,14496000,426353,190000
1990,CHW,1768,6038,106,682,637,140,7.9%,15.0%,0.122,0.29,0.258,0.32,0.379,0.314,,94,-9.8,-49.7,45.3,19.1,94,68,68,529,162,1449.1,5.68,3.4,0.66,0.27,72.3%,,,,3.61,,3.71,,16.4,9496238,9496238,287765,100000
1990,CIN,2145,6163,125,693,644,166,7.6%,14.8%,0.134,0.296,0.265,0.325,0.399,0.322,,94,4.9,-37.7,16.9,20.3,91,71,50,478,162,1456.1,6.36,3.36,0.77,0.276,75.7%,,,,3.4,,3.69,,21.2,14769500,14769500,399176,175000
1990,CLE,1684,6087,110,732,675,107,7.5%,13.7%,0.124,0.295,0.267,0.324,0.391,0.32,,97,-1.5,-19,-0.3,17.9,77,85,47,463,162,1427.1,5.42,3.27,1.03,0.289,72.1%,,,,4.27,,4.26,,8.1,15152000,15152000,388513,170000
